ID,spec,P0,P0C0,P0C0N,P0C1,P0C1N,P0C2,P0C2N,P0C3,P0C3N,P0C4,P0C4N,P0C5,P0C5N,P0C6,P0C6N,P0C7,P0C7N,P0C8,P0C8N,P0C9,P0C9N,P0C10,P0C10N,P0C11,P0C11N,P1,P1C0,P1C0N,P1C1,P1C1N,P1C2,P1C2N,P1C3,P1C3N,P1C4,P1C4N,P1C5,P1C5N,P1C6,P1C6N,P1C7,P1C7N,P1C8,P1C8N,P1C9,P1C9N,P1C10,P1C10N,P1C11,P1C11N,P2,P2C0,P2C0N,P2C1,P2C1N,P2C2,P2C2N,P2C3,P2C3N,P2C4,P2C4N,P2C5,P2C5N,P2C6,P2C6N,P2C7,P2C7N,P2C8,P2C8N,P2C9,P2C9N,P2C10,P2C10N,P2C11,P2C11N,P3,P3C0,P3C0N,P3C1,P3C1N,P3C2,P3C2N,P3C3,P3C3N,P3C4,P3C4N,P3C5,P3C5N,P3C6,P3C6N,P3C7,P3C7N,P3C8,P3C8N,P3C9,P3C9N,P3C10,P3C10N,P3C11,P3C11N,P4,P4C0,P4C0N,P4C1,P4C1N,P4C2,P4C2N,P4C3,P4C3N,P4C4,P4C4N,P4C5,P4C5N,P4C6,P4C6N,P4C7,P4C7N,P4C8,P4C8N,P4C9,P4C9N,P4C10,P4C10N,P4C11,P4C11N,P5,P5C0,P5C0N,P5C1,P5C1N,P5C2,P5C2N,P5C3,P5C3N,P5C4,P5C4N,P5C5,P5C5N,P5C6,P5C6N,P5C7,P5C7N,P5C8,P5C8N,P5C9,P5C9N,P5C10,P5C10N,P5C11,P5C11N,P6,P6C0,P6C0N,P6C1,P6C1N,P6C2,P6C2N,P6C3,P6C3N,P6C4,P6C4N,P6C5,P6C5N,P6C6,P6C6N,P6C7,P6C7N,P6C8,P6C8N,P6C9,P6C9N,P6C10,P6C10N,P6C11,P6C11N
397,INGC,1,5.0,0.75,110.0,0.6833333333333332,101.0,0.4666666666666666,31.0,0.6333333333333333,32.0,0.6,15.0,0.6833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,56.0,0.7833333333333333,78.0,0.6833333333333332,79.0,0.5499999999999999,43.0,0.5,14.0,0.5666666666666668,105.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,233.0,0.8666666666666667,90.0,0.85,2.0,0.65,91.0,0.5166666666666666,71.0,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,170.0,0.6666666666666666,1.0,0.7666666666666666,18.0,0.5833333333333334,104.0,0.6833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,102.0,0.8833333333333333,3.0,0.7333333333333334,183.0,0.8166666666666668,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,192.0,0.75,188.0,0.4166666666666667,70.0,0.8333333333333334,68.0,0.5833333333333334,19.0,0.7333333333333334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,264.0,0.7999999999999999,113.0,0.5,86.0,0.5499999999999999,88.0,0.5166666666666666,69.0,0.7166666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1945,INGE,6,28.0,0.5,29.0,0.7999999999999999,30.0,0.5,175.0,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,110.0,0.75,101.0,0.5,31.0,0.6833333333333332,32.0,0.5833333333333334,15.0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
296,INGO,1,60.0,0.7666666666666666,77.0,0.65,26.0,0.6333333333333333,33.0,0.6333333333333333,47.0,0.5499999999999999,85.0,0.6166666666666667,20.0,0.5666666666666668,37.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,0.5,7.0,0.7666666666666666,153.0,0.6166666666666667,129.0,0.4666666666666666,131.0,0.5833333333333334,132.0,0.5333333333333333,142.0,0.7000000000000001,133.0,0.5833333333333334,0.0,0.0,0.0,0.0,0,0,0,0,3,9.0,0.5833333333333334,34.0,0.4166666666666667,217.0,0.6666666666666666,215.0,0.6666666666666666,36.0,0.7666666666666666,57.0,0.75,21.0,0.7000000000000001,0.0,0.0,0,0,0,0,0,0,0,0,4,17.0,0.5499999999999999,34.0,0.6666666666666666,129.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
720,INGO,1,60.0,0.7833333333333333,77.0,0.6,18.0,0.7333333333333334,104.0,0.65,76.0,0.6166666666666667,20.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,32.0,0.5333333333333333,6.0,0.7666666666666666,103.0,0.7000000000000001,4.0,0.3333333333333333,10.0,0.5166666666666666,138.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,3.0,0.5,9.0,0.6666666666666666,85.0,0.7999999999999999,4.0,0.65,49.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,68.0,0.5166666666666666,7.0,0.9,8.0,0.7166666666666667,136.0,0.65,137.0,0.5833333333333334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,33.0,0.5833333333333334,11.0,0.6833333333333332,167.0,0.7999999999999999,37.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,34.0,0.5,129.0,0.6,131.0,0.7000000000000001,132.0,0.5,142.0,0.75,133.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,36.0,0.6833333333333332,57.0,0.6166666666666667,21.0,0.6,62.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
766,INGO,1,100.0,0.6166666666666667,18.0,0.6833333333333332,3.0,0.7333333333333334,4.0,0.6833333333333332,76.0,0.6833333333333332,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,77.0,0.7166666666666667,68.0,0.65,8.0,0.7333333333333334,103.0,0.6833333333333332,136.0,0.7166666666666667,137.0,0.6,138.0,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,60.0,0.8833333333333333,26.0,0.7833333333333333,7.0,0.7666666666666666,85.0,0.7166666666666667,10.0,0.6666666666666666,11.0,0.7999999999999999,36.0,0.65,37.0,0.65,0,0,0,0,0,0,0,0,4,33.0,0.7666666666666666,129.0,0.6833333333333332,131.0,0.6333333333333333,132.0,0.6833333333333332,133.0,0.7000000000000001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,104.0,0.7000000000000001,245.0,1.0,49.0,0.9,57.0,0.75,222.0,0.8666666666666667,21.0,0.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,156.0,0.8833333333333333,159.0,0.7166666666666667,34.0,0.6333333333333333,47.0,0.9166666666666666,130.0,0.8666666666666667,142.0,0.7999999999999999,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,17.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1524,INGC,4,28.0,0.7000000000000001,29.0,0.6333333333333333,30.0,0.5499999999999999,175.0,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,110.0,0.5333333333333333,101.0,0.5166666666666666,31.0,0.6833333333333332,32.0,0.7833333333333333,15.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,78.0,0.5666666666666668,79.0,0.5,43.0,0.75,14.0,0.5333333333333333,105.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,90.0,0.6166666666666667,2.0,0.5,91.0,0.2833333333333334,71.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
169,INGC,1,83.0,0.7333333333333334,115.0,0.7333333333333334,60.0,0.9,101.0,0.5166666666666666,15.0,0.3833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,73.0,0.65,32.0,0.5833333333333334,78.0,0.45,79.0,0.06666666666666665,14.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,78.0,0.5333333333333333,79.0,0.31666666666666665,43.0,0.7000000000000001,14.0,0.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,79.0,0.4666666666666666,104.0,0.43333333333333335,71.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,79.0,0.5666666666666668,90.0,0.5666666666666668,104.0,0.3833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,170.0,0.5499999999999999,102.0,0.5333333333333333,1.0,0.3666666666666667,91.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,113.0,0.6166666666666667,70.0,0.6333333333333333,91.0,0.5,104.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
860,INGO,1,77.0,0.5833333333333334,8.0,0.4166666666666667,103.0,0.7166666666666667,4.0,0.5,10.0,0.6,49.0,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,91.0,0.43333333333333335,68.0,0.39999999999999997,136.0,0.4666666666666666,130.0,0.4666666666666666,137.0,0.5333333333333333,138.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,99.0,0.7333333333333334,71.0,0.5,8.0,0.5333333333333333,85.0,0.6833333333333332,37.0,0.35000000000000003,21.0,0.5666666666666668,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,32.0,0.5499999999999999,91.0,0.6666666666666666,68.0,0.6,136.0,0.6833333333333332,130.0,0.5666666666666668,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.7999999999999999,26.0,0.6833333333333332,7.0,0.7833333333333333,33.0,0.5499999999999999,11.0,0.7333333333333334,36.0,0.7999999999999999,37.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6.0,0.6666666666666666,129.0,0.6166666666666667,154.0,0.4166666666666667,131.0,0.7999999999999999,132.0,0.5499999999999999,142.0,0.6666666666666666,133.0,0.6,0,0,0,0,0,0,0,0,0,0,7,9.0,0.6166666666666667,57.0,0.7666666666666666,62.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
264,INGO,1,5.0,0.8166666666666668,56.0,0.65,14.0,0.5,91.0,0.31666666666666665,71.0,0.20000000000000004,20.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,128.0,0.8333333333333334,71.0,0.5,68.0,0.3,76.0,0.3333333333333333,167.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,32.0,0.6,2.0,0.4166666666666667,4.0,0.31666666666666665,76.0,0.21666666666666665,49.0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,91.0,0.5,76.0,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.7333333333333334,103.0,0.7833333333333333,4.0,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,18.0,0.6,183.0,0.7000000000000001,261.0,0.9,137.0,0.5,138.0,0.6333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,3.0,0.6,266.0,0.7166666666666667,10.0,0.5166666666666666,11.0,0.6,37.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1132,INGI,2,13.0,0.8333333333333334,28.0,0.5166666666666666,29.0,0.7666666666666666,30.0,0.5833333333333334,175.0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,233.0,0.7666666666666666,110.0,0.6166666666666667,101.0,0.5,31.0,0.6666666666666666,32.0,0.6666666666666666,15.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,79.0,0.5833333333333334,14.0,0.5499999999999999,90.0,0.65,105.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,2.0,0.5666666666666668,91.0,0.6333333333333333,71.0,0.5333333333333333,19.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,1.0,0.6333333333333333,18.0,0.6166666666666667,104.0,0.5666666666666668,183.0,0.5833333333333334,76.0,0.5499999999999999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,43.0,0.6333333333333333,3.0,0.6666666666666666,58.0,0.65,4.0,0.6666666666666666,10.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
